QID,Label,Aliases
Q968649,Hisham,Hisham|Hisham
Q978756,Laimontas,
Q986996,Dévald,
Q987019,Dézi,
Q987212,Döme,
Q989178,Előd,
Q990834,Ermelinda,
Q991275,Tessa,Tessa|Tessa
Q994140,Dimitra,Dimitra|Dimitra
Q994749,Wórša,
Q997611,Recai,Recai|Recai
Q1003165,Fortunato,Fortunato|Fortunato
Q1003466,Franziska,Franziska|Franziska
Q1009025,Gemella,
Q1010781,Gitta,Gitta|Gitta
Q1011034,Gliceria,
Q1019008,Bärbel,Bärbel|Bärbel
Q1025452,Caesarius,
Q1032957,Candice,Candice|Candice
Q1035258,Cara,Cara|Cara
Q1036411,Hilka,
Q1036719,Hippolita,
Q1043555,Carmelo,Carmelo|Carmelo
Q1043849,Kleopatra,
Q1045829,Carter,Carter|Carter
Q1055018,Honória,
Q1057699,Hódos,
Q1068358,Chauki,
Q1068568,Chay,Chay|Chay
Q1069065,Chelidonis,
Q1069106,Chelsea,
Q1072446,Chiemo,
Q1078504,Christer,Christer|Christer
Q1083457,Christina,Christina|Christina
Q1084384,Christoffer,Christoffer|Christoffer
Q1087262,Ursula,
Q1088894,Chrysostomos,Crisóstomo|Crisóstomo|Crisóstomo
Q1094218,Rita,Rita|Rita
Q1095939,Ifigénia,
Q1096700,Klaudiusz,Klaudiusz|Klaudiusz
Q1097868,Iringó,
Q1098116,Ariadna,Ariadna|Ariadna
Q1098961,Izrael,Izrael|Izrael
Q1102114,Julius,
Q1102612,Jávor,
Q1102915,Judah,
Q1104956,Karolt,
Q1112068,Reuven,Reuven|Reuven
Q1113134,Sora,Sora|Sora
Q1114146,Clara,Clara|Clara
Q1118980,Koridon,
Q1120345,Esma,Esma|Esma
Q1122779,Kála,
Q1123085,Kámea,
Q1125127,Kökény,
Q1125977,Octavio,Octavio|Octavio
Q1127935,Lantos,
Q1128117,Lartia,
Q1130863,Lysandra,
Q1130866,Lizander,
Q1133213,Cornel,Cornel|Cornel
Q1134955,Lucinda,Lucinda|Lucinda
Q1140179,Crispian,
Q1143616,Cuma,
Q1154452,Gianfranco,Gianfranco|Gianfranco
Q1157346,Dagny,Dagny|Dagny
Q1157667,Daisuke,
Q1158284,Heinz,
Q1158323,Albrecht,
Q1160286,Lászlóffy,
Q1160640,Lucia,Lucia
Q1165172,Mariann,Mariann|Mariann
Q1166343,Darlene,Darlene|Darlene
Q1166608,Darren,Darren|Darren
Q1166840,François,François|François
Q1172363,Juda,Juda|Juda
Q1175077,Sulamith,
Q1175331,Medox,
Q1175955,Menta,
Q1176302,Metella,
Q1177672,Mirtill,
Q1178352,Davut,Davut|Davut
Q1182214,Dedo,Dedo|Dedo
Q1182436,Deepak,Deepak|Deepak
Q1183462,Dejan,Dejan|Dejan
Q1187221,Denis,Denis|Denis
Q1200194,Derk,Derk|Derk
Q1213157,Mínea,
Q1219818,Nyék,
Q1221541,Nóna,
Q1224125,Olimpia,Olimpia|Olimpia
Q1226314,Dinesh,
Q1226907,Dion,Dion|Dion
Q1227182,Ovídiusz,
Q1233051,Gundo,
Q1234419,Peónia,
Q1235431,Sigita,
Q1235797,Dolly,Dolly|Dolly
Q1236710,Mikalojus,Mikalojus|Mikalojus
Q1236982,Placida,Plácida
Q1242555,Hugo,Hugo|Hugo
Q1244356,Thilo,Thilo|Thilo
Q1248290,Remig,
Q1248963,Riana,
Q1249281,Obadiah,עובדיה
Q1251365,Rozmarin,
Q1251660,Rufina,Rufina|Rufina
Q1255301,Leopoldine,
Q1261968,Jamal,Jamal|Jamal
Q1263767,Marie-Theres,Marie-Theres|Marie-Theres
Q1265844,Dunja,Dunja|Dunja
Q1278538,Ebbo,
Q1284267,Edgaras,Edgaras|Edgaras
Q1286426,Warnfried,
Q1287300,Edo,Edo|Edo
Q1289255,Skolasztika,
Q1290839,Hermanus,Hermanus|Hermanus
Q1292582,Surd,
Q1294401,Szalvia,
Q1295077,Szatmár,
Q1295315,Szederke,
Q1295709,Szelemér,
Q1295976,Léonce,
Q1297743,Gero,Gero|Gero
Q1298981,Szirom,
Q1299017,Szirén,
Q1299836,Ehregott,
Q1300063,Szoraja,
Q1300952,Ehsan,Ehsan|Ehsan
Q1303058,Szépa,
Q1303426,Syriusz,
Q1308439,Eino,Eino|Eino
Q1310869,Guilherme,Guilherme|Guilherme
Q1312620,Quirine,
Q1315204,Rosalinda,Rosalinda|Rosalinda
Q1315883,Tacito,
Q1316849,Tardos,
Q1317072,Tarzícia,
Q1317086,Tas,
Q1321489,Ib,Ib|Ib
Q1321807,Titánia,
Q1323081,Torontál,
Q1323466,Trajánusz,
Q1329501,Elín,
Q1329882,Ubul,
Q1330587,Elisabetta,
Q1334508,Elżbieta,
Q1342128,Engelmar,
Q1342702,Núria,Núria|Núria|Nuria
Q1354327,Thees,
Q1371520,Mihai,Mihai|Mihai
Q1371706,Etta,Etta|Etta
Q1372649,Gunda,Gunda|Gunda
Q1389425,Kōsuke,Kousuke|Kohsuke|Kosuke
Q1393299,Indre,
Q1393734,Laimutė,
Q1403242,Tróndur,
Q1406199,Fereshteh,Fereshteh|Fereshteh
Q1408454,Tilmann,Tilmann|Tilmann
Q1409129,Fethullah,
Q1416908,Lippert,
Q1418019,Fotini,
Q1419326,Herward,
Q1420973,Verbéna,
Q1422752,Kolat,
Q1430023,Kris,Kris|Kris
Q1430582,Fluduald,
Q1435977,Hartwin,
Q1439952,Piet,Piet|Piet
Q1443021,Isatou,Isatou|Isatou
Q1443756,Tilemann,Tilemann|Tilemann
Q1444535,Franka,Franka|Franka
Q1449132,Iscah,יִסְכָּה
Q1452579,Freddie,Freddie|Freddie
Q1453312,Hemma,
Q1453625,Freese,
Q1455827,Grimaldo,
Q1457168,Friedhelm,Friedhelm|Friedhelm
Q1457563,Aslak,
Q1458328,Danica,Danica|Danica
Q1459454,Wiktoryna,
Q1460609,Wiator,
Q1461240,Vulkán,
Q1464843,Frigga,
Q1466546,Zakária,
Q1467131,Zenina,
Q1467417,Zimra,
Q1467718,Zonga,
Q1467852,Jayden,
Q1468986,Zöldike,
Q1470535,Édua,
Q1472327,Örsi,
Q1472402,Fuad,Fuad|Fuad
Q1473648,Őzike,
Q1487576,Teresė,
Q1493924,Iviša,
Q1494956,Heidelinde,
Q1500170,Sigmar,Sigmar|Sigmar
Q1509245,Nikodemus,
Q1514073,Germana,Germana|Germana
Q1519228,Gesine,Gesine|Gesine
Q1521449,Ghassān,
Q1522259,Gian,Gian|Gian
Q1522689,Markku,
Q1525181,Gintautas,Gintautas|Gintautas
Q1527528,Giselher,Giselher|Giselher
Q1529838,Moana,Moana|Moana
Q1547080,Grit,Grit|Grit
Q1552037,Jos,Jos|Jos
Q1553704,Romanas,
Q1554579,Gundelinde,
Q1554617,Gundi,
Q1561187,Jovan,Jovan|Jovan
Q1566153,Marit,Marit|Marit
Q1567521,Hadmar,Hadmar|Hadmar
Q1567539,Hadrian,Hadrian|Hadrian
Q1569727,Hajo,Hajo|Hajo
Q1570085,Hal,Hal|Hal
Q1574910,Laurie,Laurie|Laurie
Q1586600,Georgina,Georgina|Georgina
Q1590430,Avtandil,Avtandil|Avtandil
Q1595827,Heimo,Heimo
Q1602616,Hella,Hella|Hella
Q1604909,Henadz,Henads|Генадзь|Hyenadz
Q1605665,Henri,Henri|Henri
Q1608176,Kustaa,Kustaa|Kustaa
Q1609557,Toshiko,Toshiko|Toshiko|としこ
Q1609814,Herfried,
Q1618266,Anselm,Anselm|Anselm
Q1618300,Hildebrand,
Q1621145,Hitlerike,Hitlerine
Q1635977,Kunio,Kunio|Kunio
Q1643611,Jelto,
Q1645589,Jenette,
Q1646961,Petras,Petras|Petras
Q1652488,Ken'ichi,Kenichi|Ken-ichi
Q1657919,Ihor,Ігор
Q1658171,Ikshvaku,
Q1658339,Ildar,Ildar|Ildar
Q1664351,Insa,Insa|Insa
Q1667498,Lenny,Lenny|Lenny
Q1672990,Irmfried,
Q1673339,Isa,Isa|Isa
Q1673670,Isadora,Isadora|Isadora
Q1675496,Ivalu,
Q1675669,Ivans,
Q1677404,Jacob,
Q1682564,Jane,Jane|Jane
Q1689259,Jimena,Jimena|Jimena
Q1695536,Sinje,
Q1700206,Timor,
Q1706671,Murad,Murad|Murad
Q1712326,Julika,Julika|Julika
Q1714744,Jyrki,Jyrki|Jyrki
Q1714752,Jytte,Jytte|Jytte
Q1714762,Jákup,Jákup|Jákup
Q1715025,Jógvan,Jógvan|Jógvan
Q1715070,Jónína,Jonina
Q1716858,Jülide,
Q1720910,Kadaloh,
Q1726539,Kamilla,Kamilla|Kamilla
Q1726619,Kristján,Kristján|Kristján
Q1731839,Wolters,
Q1735678,Kate,Kate|Kate
Q1737333,Rikke,Rikke|Rikke
Q1744078,Kjetil,Kjetil|Kjetil
Q1745228,Lev,Lev|Lev
Q1746523,May,May|May
Q1748650,Lejs,
Q1752733,Alexa,
Q1757257,Mena,Mena|Mena
Q1757309,Lukáš,Lukáš|Lukáš
Q1759001,Milena,Milena|Milena
Q1761553,Akira,
Q1765453,Domenico,Domenico|Domenico
Q1774689,Narelle,
Q1781319,Amund,Amund|Amund
Q1785744,Rasmus,Rasmus|Rasmus
Q1795077,Kylie,Kylie|Kylie
Q1797469,Kęstas,
Q1806880,Suleiman,
Q1809093,Lawr,
Q1811874,Hector,Hector|Hector
Q1819473,Leonor,Leonor|Leonor
Q1819886,Snežana,Snežana|Snežana|Snježana|Snezana
Q1819927,Leopoldas,
Q1824046,Eizō,Eizou|Eizo
Q1827193,Lioba,Lioba|Lioba
Q1843065,Merijn,Merijn|Merijn
Q1857786,Pernille,Pernille|Pernille
Q1866699,Ljilja,
Q1866760,Ljudevit,
Q1868650,Lola,Lola|Lola
Q1870273,Loretta,Loretta|Loretta
Q1870304,Lori,Lori|Lori
Q1882274,Maarten,Maarten|Maarten
Q1883395,Madita,
Q1897021,Marianus,Marianus|Marianus
Q1899755,Marjana,Marjana|Marjana
Q1918138,Meinrad,Meinrad|Meinrad
Q1921669,Rhoshandiatelly-neshiaunneveshenk Koyaanfsquatsiuty,
Q1929038,Toni,Tones|Toni
Q1935711,Milorad,Милорад|Milorad|Milorad
Q1937968,Miralem,Miralem|Miralem
Q1938206,Mirja,Mirja|Mirja
Q1948776,Jamiel,
Q1960350,Dymfna,
Q1964079,Nalini,
Q1966292,Natanael,Natanael|Natanael|el mas duro de Mexico
Q1971074,Samira,Sameera
Q1973797,Ángela,Ángela|Ángela
Q1984440,Nhi,
Q1991219,Nikolajus,
Q1992484,Nilssen,Nilssen
Q1997184,Damodar,
Q2002302,Notker,
Q2003902,Noelle,Noelle|Noelle
Q2014474,Odette,Odette|Odette
Q2015003,Oehler,
Q2017115,Okatan,
Q2018484,Heinrich,
Q2022412,Desiderius,
Q2023693,Ona,Ona|Ona
Q2033725,Jorian,
Q2034696,Ossip,Ossip|Ossip
Q2042474,Ovidijus,
Q2055870,Ludo,Ludo|Ludo
Q2056274,Åsmund,Åsmund|Åsmund
Q2081373,Sterre,
Q2090092,Betty,Betty|Betty
Q2095431,Pinchas,Pinkhas|Pinchas|Pinny|Pinhas|Pinni|Pinchas|Pini|Piny
Q2096893,Signe,Signe|Signe
Q2098717,Matej,Matej|Matej
Q2127308,Ragnar,
Q2128604,Raivis,Raivis|Raivis
Q2128703,Rajesh,Rajesh|Rajesh
Q2139417,Linde,Linde|Linde
Q2156271,Robert,
Q2163118,Rolandas,Rolandas|Rolandas
Q2163131,Rolando,Rolando|Rolando
Q2165982,Ronja,Ronja|Ronja
Q2174318,Rudolfine,
Q2204295,Rūta,Rūta|Rūta
Q2211473,Safet,
Q2218095,Catherine,Catherine|Catherine
Q2264223,Sedat,Sedat|Sedat
Q2264786,Marie Josephine,
Q2266620,Seidl,
Q2275264,Severino,Severino|Severino
Q2275863,Seymour,Seymour|Seymour
Q2276445,Shahryar,
Q2277072,Belle,Belle|Belle
Q2277815,Shelagh,Shelagh
Q2278737,Shigeru,
Q2279195,Shin'ya,Shinya
Q2285474,Sigutė,
Q2290921,Sixten,Sixten|Sixten
Q2307004,Joakim,Joakim|Joakim
Q2311862,Jet,Jet|Jet
Q2318855,Maureen,Maureen|Maureen
Q2345254,Steponas,Steponas|Steponas
Q2349436,Stijn,Stijn|Stijn
Q2382155,Sünje,
Q2387140,Taddea,
Q2389005,Siebe,Siebe|Siebe
Q2390237,Talha,Talhah
Q2394815,Tarzisius,Tarzisius|Tarzisius
Q2397474,Tautvydas,
Q2428812,Thor,Thor|Thor
Q2436761,Tita,Tita|Tita
Q2438251,Toccara,
Q2440659,Tomer,Tomer|Tomer
Q2450469,Traute,Traute|Traute
Q2464083,Jorik,
Q2468323,Laurentien,
Q2475096,Ulla,Ulla|Ulla
Q2476532,Tonantzin,
Q2478993,Arjan,Arjan|Arjan
Q2503890,Jodocus,Jodocus|Jodocus
Q2508196,Valentas,
Q2511172,Abd al-Azim,
Q2521406,Veysel,
Q2527851,Virmantas,
Q2528489,Viswanathan,
Q2535697,Vytenis,
Q2542240,Walfried,
Q2551723,Menno,Menno|Menno
Q2552031,Wassil,
Q2555252,Hendrikx,
