QID,Label,Aliases
Q351608,Adamik,
Q351735,آدامز,Adams|Adams
Q352078,Adamski,
Q352089,Adamsson,
Q352821,Addams,
Q353404,Adduono,
Q353576,Murdock,
Q354330,Braun,
Q355056,Maior,Maior|Maior
Q355383,McKinnon,
Q355482,Ilyushin,Ильюшин
Q356377,Aderholt,
Q356559,Sandoval,Sandoval
Q356969,Adickes,
Q357139,Owens,
Q357280,Adilović,
Q358090,Adler,Adler|Adler
Q358152,Mamontov,Мамонтов
Q358485,Adlersparre,
Q359432,Kahl,
Q359502,Maurer,
Q360453,Adoboli,
Q360542,Adolf,
Q360604,Groulx,
Q362091,Polonsky,Polonski
Q363990,Savchuk,Савчук
Q364289,Werkman,
Q366032,Adomaitis,
Q368894,Haas,
Q369735,Mainzer,
Q369816,Thapa,थापा
Q370531,Schuurman,
Q371003,Hornung,
Q371270,Olausson,
Q371852,Josipović,
Q378514,Dragutinović,
Q379059,Adulyadej,
Q379477,Hartwig,
Q380827,Aellen,
Q381802,Aerts,
Q382071,Afanasyev,Афанасьев
Q382779,Eren,
Q382833,Affleck,
Q383010,Pérez,
Q383113,Dean,
Q384162,Łukaszewicz,
Q385063,Lebedev,Лебедев
Q385674,Lottner,
Q387114,Śliwiński,Śliwińska|Śliwińscy|Sliwinsky|Сливинський|Сливиньский|Sliwinski
Q387640,Borodin,Бородин
Q388010,Şahan,
Q388114,Şakir,
Q388231,Şamdereli,
Q388777,Şen,
Q390541,Şimşek,Şimşek|Şimşek
Q391460,Šerifović,
Q391733,Šivic,
Q392031,Ağayev,Agayev|Aghayev
Q392194,Šmēdiņš,
Q392492,Štrukelj,
Q392506,Štuhec,
Q392641,Šukys,
Q392710,Šutej,
Q392745,Švedas,
Q393240,Żygulski,
Q393830,Žemva,
Q394187,Živný,
Q394314,Župančič,
Q394343,Žvižej,
Q394612,Əliyev,Aliyev
Q395215,Agolli,Agolli|Agolli
Q395503,Agosti,
Q396452,Agrell,
Q397820,Stravinsky,
Q398121,Pavelić,
Q399592,Agyemang,
Q400282,Nyers,
Q400458,Wiseman,
Q400508,Ahlgren,
Q400509,Ahlgrimm,Ahlgrimm|Ahlgrimm
Q400534,Ahlquist,
Q400538,Ahlqvist,
Q400559,Ahlstrand,
Q403153,Ai,艾|Ài|Ngai
Q403433,de Jong,de Jong|de Jong
Q403712,Aichinger,
Q404721,Macpherson,
Q404899,Aikenhead,
Q405906,Hicks,Hix
Q406181,Pacheco,
Q406384,Sachs,
Q408512,Aird,
Q409677,Ambrosini,
Q410605,Aitkenhead,
Q411679,Stepanova,
Q411924,Frazier,
Q412179,Wilk,Wilk
Q413535,Kosinski,
Q413753,Evrard,
Q414325,Cantoni,
Q414592,Rapp,
Q414927,Greenspan,
Q414977,Hlushko,
Q415399,Lahti,
Q415564,Akalın,
Q416943,Akdağ,
Q416960,Akdemir,
Q417600,Akgül,
Q419161,Rey,
Q419460,Weinert,
Q420128,Mauri,
Q420404,Frenkel,Frenkel|Frenkel
Q420455,Odom,
Q420588,Akoto,
Q420601,Bowles,
Q420703,Trudeau,
Q421434,Galkina,
Q421604,Aksoy,
Q421649,Kenyon,
Q421840,Nordenskiöld,
Q421954,Malmström,
Q422287,Schiffman,Schiffmann
Q422371,Fesenko,
Q423413,Johnsen,
Q423635,Kulakov,
Q423891,Melnychenko,
Q424325,Stevenson,
Q424429,Akyol,
Q424447,Kouz,
Q424982,Yakovenko,
Q426452,Dyatlov,Дятлов
Q426463,Lewis,
Q428024,Klein,Klein|Klein
Q428664,Saionji,西園寺
Q428826,Vischer,
Q431274,Glover,
Q431758,Nagy,
Q431890,Barrett,
Q432807,Alströmer,
Q436035,Yoshida,Yosida
Q436257,Velasco,
Q436862,Altenburg,
Q439627,Moskvin,Москвин
Q440471,Althaus,
Q442524,Altmann,Altmann|Altmann|Altmann|Altmannová
Q448361,Propp,Propp|Propp
Q449365,Stoker,
Q449411,Bennett,Bennett
Q450129,Su,苏|蘇|Sū|So͘|Sou|Soo
Q450440,Karpinski,Karpinski|Karpinski
Q450742,Messing,Messing
Q450765,Burman,
Q451705,Amadei,
Q452023,Gibb,
Q453452,Borkowski,
Q454414,Amann,Amannová
Q456646,Ambartsumian,
Q474177,Amort,
Q474185,Amoruso,
Q474666,Garfinkel,
Q474904,Hertling,
Q477265,Kumar,
Q478127,Weider,Weider|Weider
Q480231,Amthor,
Q482015,Acsádi,Acsádi|Acsádi
Q484945,Janjić,Јањић
Q490557,Andergassen,Andergassen|Andergassen
Q501558,Andreassen,
Q503229,Andreou,Ανδρέου
Q503616,Ademar,
Q508566,Pettersen,
Q512778,Min,閔|闵|Man|Mieng|Miang|Bin|Mien|Mian
Q513524,Rosen,
Q516253,Rosselli,
Q520045,Procter,
Q523797,Andrén,
Q524209,Waldmann,
Q525016,Allom,
Q529460,Schipper,Schipper family name|Schipper surname
Q530549,Angarita,
Q530833,Aldrovandini,
Q533594,Manetti,
Q533670,Angele,
Q535214,King,King
Q535850,Forlán,
Q538053,Brüll,
Q538351,Angersbach,Angersbach|Angersbach
Q539304,Symons,
Q539788,Coignet,
Q547494,Fenoglio,
Q547852,Hetsch,
Q548106,Gourcuff,
Q552110,Agárdi,
Q552193,Agócs,
Q556189,Aknai,
Q557984,Barnekow,
Q565970,Annecke,
Q566394,Beloglazov,Белоглазов
Q567203,Annison,
Q567889,Saleh,Ṣāliḥ|Salih
Q568872,Palmer,Palmer
Q573375,Schreiber,
Q573918,Losev,Лосев
Q573960,Brolin,
Q574091,Behnke,
Q574743,Gröning,
Q576277,Bourquin,
Q578505,Knauer,
Q580999,Wachter,
Q587248,Olmert,
Q590150,Sasu,Sasu|Sasu
Q592176,Sima,司馬|司马
Q593218,Wilkerson,Wilkerson family name|Wilkerson surname
Q593855,Alimov,Алимов
Q594430,Przybylski,
Q594773,Galea,
Q596393,Koevermans,
Q598459,Miranda,
Q605616,Karny,
Q607823,Antonsen,
Q607829,Lushington,
Q608485,Wanker,
Q608991,Richards,
Q609239,Knightley,
Q612479,Koehler,
Q613863,Rumsfeld,
Q615672,Panafieu,
Q615898,Aono,青野|あおの
Q617704,Aparecido,
Q618149,Apelgren,
Q620793,Appelquist,
Q621036,Appice,
Q626620,Araújo,
Q628262,Góngora,
Q630960,Wendlinger,
Q632406,Archambault,
Q632945,Baier,
Q634520,Pollak,
Q638038,Skwierczyński,Skwierczyński family
Q639474,Barthez,
Q639901,Leontyev,Леонтьев|Leontief|Leontiev|Leontjew|Leontjev|Leont'ev
Q641566,Maij,
Q641974,Arendt,
Q645064,Hauff,
Q646155,Szymański,
Q647610,Hedberg,
Q648010,Ali,
Q649225,Yushkevich,Юшкевіч
Q652685,McKibbin,
Q656179,Samuel,
Q656767,Gundersen,
Q658676,Cooke,Cooke family name|Cooke surname
Q660542,Tewes,
Q661512,Arimori,
Q663233,Jäger,
Q667918,Gonthier,
Q668622,Walzel,
Q669274,Kaczmarek,
Q669368,Gould,Gould family name|Gould surname
Q671561,Morawetz,
Q672975,Kahraman,Kahraman|Kahraman
Q673233,Zhu,竺
Q674660,Arlauskas,Arlauskas|Arlauskas
Q680401,Koçer,Koçer
Q686223,Li,李|Lǐ|Lee
Q686722,Ashina,
Q688637,Armit,
Q689963,Armytage,
Q690901,Arnardóttir,Arnardottir
Q690984,Arnarsdóttir,Arnarsdottir
Q691011,Arnarsson,
Q693532,Arnheim,
Q693963,Arning,Arning|Arning
Q694764,Arnold,Arnold|Arnold
Q697186,Arnould,
Q697887,Arnórsson,
Q699742,Yoo,You|庾|兪|劉|유|柳|Yu
Q700836,Mangjul,망절|Mangjeol
Q703401,Quan,全|Quán
Q705016,Shen,申|Shēn
Q709443,Ye,葉|叶|Ip|Yip|Yeh|Yap|Yè
Q709458,Kang,Gang|강|姜|强|康|江|剛
Q709747,Du,杜|To|Tu
Q710706,Cao,曹|Ts'ao|Chaw|Chou|Chô|Chháu|Chau|Chow|Chhau|Cáo|Cho|Tso|Tsao
Q712260,Mei,梅|Mui|Moy|Mai|Mae|Moi|Boe|Bue
Q713706,Gao,高|Kao|Ko|Gāo
Q714102,Artula,
Q715935,Park,박|Bak|朴|Pak
Q716212,Yuan,袁|Yuán|Yuen
Q716674,Arundell,
Q717555,Yin,尹|Yoon|Wan|Yǐn
Q717763,Luo,罗|羅|Luó|Lo|Law|Loh|Lowe|Lor|La|Ra|Na
Q717767,Han,韩|韓|Hon
Q717770,Song,宋|Sòng|Sung|Soong
Q718600,Jin,金|Jīn|Kam|Kim
Q720987,Asanuma,浅沼|あさぬま
Q721105,Azarov,Azarova|Azaroff|surname Azarov
Q722780,Ashkenazi,Ashkenazzi|Aszkenazy|Askenazy|Ashkinazi|Eshkenazi
Q722991,Aschwanden,
Q723740,Asenov,
Q724772,Kamalisarvestani,
Q724984,Ashcraft,Ashcraft|Ashcraft
Q725343,Ashihara,芦原|あしはら
Q725719,Ashley,
Q726249,Ashraf,Achraf
Q727104,Styka,Styka|Styka
Q731903,Jakobsson,
Q732780,Asllani,
Q733436,Asmussen,
Q733521,Asner,
Q735211,Horn,
Q735857,Aspelin,
Q737811,Malczewski,
Q740402,Osswald,
Q744608,Kornilov,Корнилов
Q745520,Estienne,
Q746528,Grafström,
Q747961,Liebenberg,
Q749530,Astle,
Q749831,Leclerc,
Q754585,Ateş,Ates
Q754762,Athanasiadis,Αθανασιάδης
Q756064,Atladóttir,
Q757300,Atlason,
Q758259,Attwell,
Q759213,Auerbach,Auerbach
