QID,Label,Aliases
Q30505029,ambassador of Turkey to Slovakia,
Q30524710,member of the 57th Parliament of the United Kingdom,
Q30544158,ambassador of Sweden to North Korea,Swedish Ambassador to North Korea
Q30580542,Member of the 2nd Scottish Parliament,2nd MSP
Q30597412,Minister of Foreign Affairs,
Q30600272,Minister of the Interior,
Q30601366,Minister of Communications,
Q30606291,Leader of the House,
Q30612831,Minister of Defence,
Q30622963,Bishop of Hong Kong and Macao,Bishop of Hong Kong
Q30635391,Governor of the Eastern Caribbean Central Bank,
Q30635458,Crown Prince of Dubai,
Q30643676,Controller of Treasurer Accounts,
Q30645478,Shadow Secretary of State for Housing,
Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",
Q30879111,Permanent Representative of the Russian Federation to NATO,Permanent Representative of Russia to NATO|Head of Mission of Russia to NATO
Q30909878,Office of the Attorney General of the Republic,Public Ministry of the Domincan Republic|Ministry of Justice|Attorney General of the Republic (Dominican Republic)
Q30936048,Framadar,
Q31068298,Minister-President of the Saarland,Minister-President of Saarland
Q31887345,Statsepidemiolog,
Q32391314,extraordinary professor,
Q32947148,Deputy Minster for Children,
Q32947389,Minister for Agriculture and Rural Development,
Q33083139,Member of the 2013-2016 Parliament of Iceland,
Q33200210,High Commissioner for Sicily,
Q33203558,minister of Reconstruction of the Kingdom of Italy,
Q33205055,minister of Industry and Trade of the Kingdom of Italy,
Q33244766,Vorderster Losunger,
Q33393903,Minister of Information and Tourism,
Q33487629,Member of the House of Assembly of Bermuda,
Q33960206,first deputy mayor,first councillor|first mayor's adjunct
Q34517851,monarch of Tuvalu,
Q34518480,monarch of the Dominion of Fiji,
Q34518803,monarch of the Dominion of Ceylon,King of the Dominion of Ceylon|Queen of the Dominion of Ceylon
Q34519042,monarch of the Union of South Africa,king of the Union of South Africa|queen of the Union of South Africa
Q34925040,Member of the Parliament of Transnistria,
Q35380338,hydrogeologist,geohydrologist
Q37924609,Mayor of Bodø,
Q38126150,housewife,stay-at-home mother|stay-at-home mom
Q38126847,ambassador of Turkey to Mozambique,
Q38131074,ambassador of Turkey to Slovenia,
Q38257700,apostolic Nuncios to the Republic of the Congo,
Q38673587,Count of Barcelona,Countess of Barcelona
Q38780315,Premier of British Honduras,
Q39055044,Shadow First Secretary of State,
Q39055978,Prime Minister of Assam,
Q39056732,list of mayors of North Sydney,
Q39057061,Mayor of Mogadishu,
Q39061009,Archdeacon of Leighlin,
Q39091291,First Lady of Kyrgyzstan,
Q40104192,ambassador of France to Mongolia,
Q40111568,ambassador of France to Prussia,
Q40155085,census taker,census-taker|enumerator|census worker|census enumerator
Q40167281,rope access technician,rope technician
Q40333606,Prefect of Finistère,Prefect of Finistere
Q40338084,ambassador of Estonia to Canada,
Q40380535,Tawafa,Guiding of pilgrims|Tawafa of pilgrims|Al-Tawafa
Q40421764,United Nations official,
Q40647606,"chairman of the municipal board in Järfälla Municipality, Sweden",
Q40871491,hapkido practitioner,
Q41069003,President of the Cortes of Castile and León,
Q41486906,sub-editor,subeditor
Q41582559,member of the 19th Parliament of the United Kingdom,
Q41582570,member of the 24th Parliament of the United Kingdom,
Q41582579,member of the 29th Parliament of the United Kingdom,
Q41582581,member of the 30th Parliament of the United Kingdom,
Q41582603,member of the 40th Parliament of the United Kingdom,
Q41593843,quizzer,quiz player
Q41733198,"chairman of the municipal board in Sollentuna Municipality, Sweden",
Q41736292,Chancellor of the University of Melbourne,
Q41774562,Sultan of Maguindanao,
Q41799269,"Bavarian Minister of the Interior, Construction and Transportation",
Q42244994,visual development supervisor,
Q42303786,blues musician,
Q42309726,Sheriff of Ross and Cromarty,
Q42327067,member of the Politburo Standing Committee of the Chinese Communist Party,
Q42330144,historian of the Holocaust,
Q42331265,gymnastics coach,artistic gymnastics coach
Q42403763,Justice of the High Court of Australia,Judge of the High Court of Australia|Justice of the Australian High Court|Judge of the Australian High Court
Q42590218,Shaykh al-Islām of Isfahan,
Q42673468,naturopath,naturopathic practitioner
Q42744067,Member of Abgeordnetenhaus,
Q42770370,Minister of Local Affairs,
Q42856178,member of the Saint Paul City Council,Saint Paul City Councilmember|St. Paul City Councilmember|member of the St. Paul City Council
Q42898653,Member of the Uitvoerend Bewind,Director
Q42900692,ambassador of Estonia to Austria,
Q42968448,Mayor of Slaný,
Q42971775,homebrewer,
Q43080086,Special Narcotics Prosecutor for the City of New York,
Q43095928,conchologist,shell collector
Q43161815,"Minister of Transport, Tourism and Communications",
Q43179439,Presidente de Iniciativa per Catalunya Verds,
Q43296860,member of Filiki Etería,
Q43305840,Minister of Justice,
Q43379800,president of the Royal Belgian Football Association,president of the RBFA
Q43400455,First Secretary of PSC,
Q43456386,Minister of Public Works,
Q43459871,King of Israel,Ruler of the Kingdom of Israel
Q43464841,merchant banker,
Q43661317,president of Valencia CF,
Q43683892,payroll clerk,payroll clerks
Q43907542,Minister of Health and Social Assistance of the Government of Catalonia,
Q44284828,Grand Exalted Ruler,
Q44368414,Minister of Education and Culture,
Q44379933,Rector of the Autonomous University of Barcelona,
Q44407290,representative in the Social-Political Council of Croatia,member of the Social-Political Council of Croatia
Q44419830,representative in the Chamber of Deputies,member of the Chamber of Deputies
Q45211563,Rector of the Academy of Paris,Rectrix of the Academy of Paris
Q45213921,President of the Congress of Deputies,
Q45396409,Minister - Fisheries and Livestock,
Q45396440,Minister - Gender,
Q45396560,Minister - Labour and Social Security,
Q45396576,Minister - Lands and Natural Resources,
Q45396670,Minister - Religious Affairs and National Guidance,
Q45465544,tentmaker,
Q45843918,Minister of Culture of the Czech Republic,
Q45892580,Member of the Customs Parliament,
Q45920048,railway executive,railroad executive
Q46034607,interviewer,interrogator|questioner
Q46123106,teddy bear creator,
Q46197913,Chief coordinator of United Left,
Q46621748,borough mayor of Wedding,district mayor of Wedding
Q46984315,quilter,quilt maker
Q47004158,homiletician,preaching scholar|scholar of preaching
Q47006779,President of Mali,President of the Republic of Mali
Q47012931,Provincial Deputy of Lleida,
Q47013420,assistant district attorney,
Q47035625,councilor of the City Council of Valls,
Q47056058,"Minister of Agriculture, Livestock",
Q47083093,garden architect,
Q47088467,borough mayor of Treptow-Köpenick,district mayor of Treptow-Köpenick
Q47092677,borough mayor of Lichtenberg,district mayor of Lichtenberg (since 2001)|borough mayor of Lichtenberg (since 2001)
Q47092701,bishop of Turin,
Q47105711,belly dancer,
Q47162994,borough mayor of Lichtenberg,district mayor of Lichtenberg (1921–2000)|borough mayor of Lichtenberg (1921–2000)
Q47167922,Member of the 11th Parliament of Northern Cyprus,Member of the 11th Parliament of Occupied Cyprus
Q47172589,Wén huá diàn dàxué shì,
Q47174991,Minister of Works of the Qing dynasty,gongbu shangshu
Q47176437,Emperor Young protector,
Q47186164,Grand Tutor of the Ming dynasty,
Q47189365,President of Nantes University,
Q47228496,conscript,
Q47384431,Governor of the Territory of New Mexico,
Q47397925,councilor of the Malaga City Council,
Q47448440,President of CEOE,
Q47452343,officer-in-charge of Japanese Affairs,"officer-in-charge of Japanese Affairs, Bureau of Far Eastern Affairs"
Q47455205,ambassador of Spain to Andorra,Ambassador of Spain to Andorra
Q47457897,Commander of the Department of Alaska,
Q47462464,Governor of Wyoming Territory,
Q47472490,SSC Secretary-General,Secretary-General of the Sunni Students' Council
Q47483036,President of the Supreme Executive Council of Pennsylvania,
Q47488389,Móstoles municipal councillor,
Q47490318,Member of Quebec City Council,
Q47491577,Delegate of the Generalitat in Madrid,
Q47501825,Mayor of Doboj,Head of Doboj City Administration
Q47502433,brick making,
Q47502917,Director of the Monmouth County Board of Chosen Freeholders,"Director of the Board of the Monmouth County, New Jersey Chosen Freeholders|Director of the Monmouth County, New Jersey Board of Chosen Freeholders"
Q47507570,"Long Branch, New Jersey City Clerk","City Clerk of Long Branch, New Jersey"
Q47510616,director of the Library of Catalonia,
Q47516336,Colonial Governor of New Jersey,
Q47519610,Minister for Human Rights of the Czech Republic,Minister of the Czech Republic for Human Rights
Q47520184,Rectors of the Ukrainian Free University,
Q47528313,King of Kurunegala,
Q47902039,accident investigator,tin-kicker|accident analyst
Q48145595,electrophysiologist,
Q48174512,mayor of Brunlanes,
Q48322292,mayor of Hobøl,
Q48327671,Director of Televisió de Catalunya,
Q48354849,wirefitter,wire fitter|wireman
Q48403359,Governor of the province of Massachusetts Bay,
Q48439109,territorial delegate of the government in Girona,
Q48441942,territorial delegate of the government in Terres de l'Ebre,
Q48479139,ambassador of France  to Jamaica,
Q48528544,mayor of Båtsfjord,
Q48535617,City councillor of Ateca,
Q48727145,Chief of Navy,
Q48734402,Permanent Representative of Bangladesh to the United Nations,
Q48734440,Chief Information Commissioner of India,
Q48743462,"Police Commissioner of the Metropolitan Police Department, City of St. Louis",
Q48743474,Special Representative of the Secretary-General on Sexual Violence in Conflict,United Nations Special Representative on Sexual Violence in Conflict|SRSG/SVC
Q48746544,Director general of services,secrétaire général d'université
Q48767677,Minister of Works,
Q48768368,Archdeacon of Lismore,
Q48768372,Mayor of Dar es Salaam,
Q48769875,Minister of Tourism,
Q48799854,Archdeacon of Derry,
Q48803657,seniore,
Q48803975,Archdeacon of Killaloe,
Q48804272,Archdeacon of Kilfenora,
Q48804604,Archdeacon of Kilmacduagh,
Q48808922,First Lady of Trinidad and Tobago,First Spouse of Trinidad and Tobago|First Gentleman of Trinidad and Tobago
Q48809726,"Archdeacon of Cork, Cloyne and Ross",
Q48840389,First Lady of Cape Verde,
Q48875814,Parochus of Nuestra Señora del Carmen de Pozuelo,
Q48879649,Interim President of the Portuguese Republic,
Q48971442,Position coach,
Q48976144,Member of New Taipei City Council,New Taipei City Councilor
Q48995125,amateur tennis player,amateur tennis players
Q49225720,abbot of Saint-Aignan of Orléans,
Q49417447,ambassador of France to Nigeria,ambassadeur de France au Nigeria
Q49439626,titular bishop of Bigastro,
Q49920388,Category:Iranian rear admirals,Rear Admirals of Iran
Q50068490,Secretary of Foreign Affairs and the European Union,
Q50177237,mayor of Flesberg,
Q50187699,mayor of Fjell,
Q50215615,Apostolic Vicars of Pakse,
Q50251653,councillor in the City of Verona,
Q50275527,Mayor of Seoul City,
Q50288440,President of the Madrid Press Association,
Q50307338,Assistant Director-General,
Q50333861,pysankar,
Q50350095,Beylerbey of Yemen,
Q50351131,Minister of Arnäs parish,
Q50359511,Mayor of Ashkelon,
Q50359995,bishop of Tui,
Q50362555,Governor of the Bank of Portugal,
Q50364810,subgobernador del Banco de España,
Q50378224,Deputy of the Supreme Soviet of the Russian Soviet Federative Socialist Republic,
Q50392129,Ambassador of France to Burundi,
Q50494403,Prefect of ceremonies,
Q50559074,Sejong City councilor,
Q50559426,South Jeolla Province councilor,
Q50601154,Health Associate Professionals Not Elsewhere Classified,health associate professionals not elsewhere classified
Q50673094,Podestà of Verona,
Q50673671,foreign currency trader,forex trader|currency trader|foreign exchange trader|FX trader|international currency trader
Q50765441,Second secretary of the Asamblea de Madrid,
Q50768646,labor leader,union leader|trade union leader|labor union leader
Q50804968,Civil Commissioner of the Ionian Islands,
Q50806369,Minister assisting the Minister of State Development,
Q50806582,Minister for Year 2000 Compliance,
Q50823624,First president of the Court of Cassation,
Q50874746,Sort city councillor,
Q50889885,Beylerbey of Jeddah,
Q50967494,simracer,
Q50995749,sportsperson,sports personality|sports figure|sportsman|sportswoman
Q51024837,Governor of the Danube Vilayet,
Q51025550,yakutologist,
Q51041250,detective officer,
Q51090576,King of Jaffna,
Q51093294,deputy in the departmental assembly of Risaralda,
Q51093308,deputy in the departmental assembly of Cauca,
Q51093322,deputy in the departmental assembly of Norte de Santander,
Q51093327,deputy in the departmental assembly of Córdoba,
Q51093346,deputy in the departmental assembly of Vichada,
Q51093348,deputy in the departmental assembly of La Guajira,
Q51096859,councillor of Medellín,
Q51140252,standing member of the National Committee of the Chinese People's Political Consultative Conference,
Q51174991,church writer,theological writer
Q51190349,Minister Delegate for Relations with Parliament,
Q51199273,governor of Fukushima Prefecture,
Q51199496,governor of Toyama Prefecture,
Q51199693,governor of Shizuoka Prefecture,
Q51200009,governor of Hiroshima Prefecture,
